id,landmarks
8eaf42c06f9953fb,1985 0.25
8a770444f957e872,9815 0.11
f81d602b0992ee97,7070 0.48
8831c11dad21b176,6528 0.26
bc993844a0fecef4,10328 0.26
4dd79f806517cd15,14752 0.19
92364f3883df0aa5,14661 0.63
d10c31809693d3a0,4093 0.33
2b1e3fd0f175f5fb,767 0.04
d6c5a87278d8c37b,3921 0.25
3413a809844eabed,5492 0.08
2d7916e5b98f2c97,3023 0.42
9f6df2d862940165,5491 0.32
a00b4c5adc69ad77,3634 0.34
667ae0a636223452,13713 0.27
66e3fc39a68a320b,128 0.39
6470cd3cc8b27432,6855 0.11
20d7dde8c3e7ce83,1484 0.57
a028d4e53b2b8a39,10198 0.20
bf5810e5ad2fa767,10699 0.23
baae1068fcbf071a,2228 0.10
e2b39d7b4ea1df5c,10609 0.49
aa044e2fcfe4ace2,12553 0.55
46348d63e6f484cb,14795 0.06
51dcb5f9f7d9e471,10764 0.39
93bf4c47418884a2,6679 0.98
a63f764a38efe395,10013 0.12
f7dfe614f25391a0,7056 0.66
1ace50f0bd730c86,10003 0.12
0169ff34f000e772,665 0.03
921ca791a2ef4789,1150 0.82
911ad95cefb00d19,14661 0.19
5c08a79b219317c2,13505 0.08
80b5a1db6466f625,7220 0.15
08dc883d56b405b4,3298 0.10
e087059465dbdb0f,9582 0.90
5559d7ea77769e18,7726 0.07
a456db0e81551b22,425 0.10
44265439f1c99807,3526 0.32
70facff163defa3b,6679 0.11
b768d50ade875966,3424 0.03
5ca3b0574da0cb09,14661 0.55
4244473c6c24a732,2257 0.20
eb5654d66f7e50ce,9382 0.17
a4103e96b30b3fef,8700 0.17
c54c2d5ae171b5c6,12686 0.37
95484453d23aa158,74 0.05
a3934a4669e9008e,33 0.24
bd6b80cde8e4dc63,11667 0.70
d02d99f58db774dc,13596 0.13
906b0d14153376dc,13222 0.80
78b70dce02d1ff8e,7490 0.23
294ebecf489a5d1c,6440 0.07
e305c4b5b315b748,2345 0.17
8a4167ef1fed34be,10192 0.06
b5628498d2f0741a,14706 0.38
1249b99b93e828e4,14272 0.43
2069478391fa710f,11689 0.64
8d1e373f47e02384,11811 0.12
6c110fdc6615a2b9,4630 0.11
41c35ebf758f8ee9,9863 0.16
38c833e02de09c61,3921 0.06
38143453e2394f86,4463 0.43
cac02969d00e17b8,12534 0.13
26b90de17cf52c4e,6521 0.87
076c2047d3b38149,838 0.07
c2b7135e933b7ca9,14661 0.05
4241afbba0263ad2,4197 0.04
6a070bb187c39a26,8978 0.73
5d99a945fd427934,14706 0.57
9a5fa3debdc245e6,1345 0.25
f7d32d85a12fc5f3,2326 0.97
855dcfc5e0f7c620,8899 0.44
ac52319490021f95,2808 0.14
922981e1a501dc01,12218 0.10
45a18f49d2b1c4be,12969 0.23
704f4a9ad7b20720,4481 0.31
2752e22c71a34799,890 0.16
d481dde4bc51881e,2326 0.75
603f8088c476c5ea,12004 0.15
df7c1a6968f80abb,3527 0.25
4867d09b955bae1f,1345 0.29
e25dcbd95c3c63cd,5880 0.33
680ad0f826c2ea8a,603 0.43
0a383fa69fe30b14,14654 0.28
56e46dfb5490cb61,731 0.86
277ea9d477b301e4,14018 0.34
1f9cdce7c4a6afe7,9382 0.17
5478a6ff5681c6b3,1345 0.41
7db9cc9413c79cb3,3475 0.75
b66d9db5cae7d8c5,2372 0.47
36b59dfdaa1f69b8,6164 0.07
c2d1433539e787bc,10231 0.62
8f3ea374eb4dfe41,13701 0.14
690a1e4b923a163a,1269 0.25
031ef59c512a8f3a,1037 0.10
cbb9fc1df1b03a60,9815 0.14
69fde72618992887,13437 0.32
8c075c7bdad25787,2737 0.21
937c41cd1f674563,6861 0.21
884b5dba8f9cfe69,5623 0.93
12228df1bad35214,10764 0.56
f0e456aafa2d1022,9167 0.07
2a284ee3448f3cb1,9225 0.23
48c177dca58517f3,7300 0.30
84cc63643c1779af,7961 0.11
eb8f729b41cf46f4,14661 0.54
a37fe56cc7cca8f8,9812 0.20
66c3c988118aa011,1484 0.13
7ead23cb3cb2d56e,4481 0.12
b5a9c037eeb4d471,116 0.09
062659934e9fe35e,3756 0.13
f014e5b4a421c3a4,14661 0.14
451cb180219dba58,5880 0.29
76e116477cdfc676,1345 0.15
17bf39602b8c0305,7031 0.15
ecd885817c27555f,264 0.95
9d72040e5397d8df,6119 0.96
2d0238a26ad61512,2746 0.20
eb093172ec7df43b,12909 0.29
b1c974fa7cd8f8e1,2944 0.60
ce936473a69fb6b0,768 0.17
4ffdaf3bc92fb713,7031 0.93
860bd0368c80aaa4,11268 0.58
9b4aea028e662bf4,12909 0.18
b22a551d1fc0ff73,8258 0.17
22f883bcc965e365,14128 0.92
5f5b564d7b369a04,12308 0.12
bd0716aa39856745,9449 0.13
d47b4de73ef1ca43,13035 0.22
87dd2c26ac976d2a,5795 0.33
5402a6bdc2bda7b3,10566 0.38
0417fead92a996bd,4130 0.40
f8420d76c7680823,6440 0.41
15bf84d7a3bfabf1,2126 0.05
396f8c3012bb08c4,8876 0.07
214bbdaf10461a33,5628 0.20
4a5e8fb1ff375f41,6890 0.89
9a2c1116c6cd39db,6593 0.28
b829f39615386011,3265 0.21
7fa8615d55f5ad49,9283 0.36
aedc48df734bdfee,1104 0.08
dadff70f053ee677,11500 0.15
6d6ad0559ee893c9,11609 0.88
2b341e1a5427d21a,4716 0.38
f1c36734fc5ff61a,10367 0.40
bd511487cd77406f,14059 0.24
f545fde6c41435dc,10013 0.29
94048954abd77e5a,10566 0.04
dbd6386358873a97,2148 0.20
479a5fa30f3fc401,1710 0.05
2595dcdf9f425e06,10797 0.24
2b1a09bcaef0f9be,9382 0.31
7f0bab0046f8086f,11609 0.02
0e73ba8bb2476375,4692 0.22
15e87d497a6df918,10764 0.37
4051930c2a15649c,7118 0.15
7bf458c32a35481f,8184 0.26
71719569dec7e0c8,6679 0.24
aa3291644f3e4130,4769 0.19
8aabc5e44ad803cd,51 0.45
9cb07702a7330cc7,143 0.50
6b22639c39be2f1e,10566 0.33
be6395c7be7888c4,11609 0.37
cf6c686a4e264e69,8207 0.30
f4c4ef771b6a2f2b,8906 0.69
66686bc66c856683,14401 0.84
c9ab5572a88996eb,8502 0.03
7a539d7cd1aef082,4093 0.30
3f4080f3865e2253,2959 0.43
f04b5653ca79bdf9,8899 0.09
1433bd2885eb318f,1985 0.17
36b256ca3630ef8a,13767 0.66
4ad0bf8ebe0f31cc,6256 0.20
98759238ece67261,7620 0.08
263f6ff445d6973c,3528 0.08
d7f16d268717bd0d,2667 0.90
c3854c88189df976,14109 0.09
2a2931f20773004f,7220 0.17
c0c270330090bab6,11304 0.40
4aca1e1e22eb1747,6956 0.19
b49797b94b84c73e,8463 0.11
9a995aee5a989925,11173 0.23
e5bd0541c430aee4,11021 0.71
0f9cea37e9c73090,5481 0.21
e5733918c6c026a0,6679 0.62
9d363d385da0fd33,3844 0.24
96d162e0410f0b4f,11496 0.45
eeca4d2a9a978b2e,14110 0.17
0a21c7c67e31082f,8914 0.09
2939e459aeb46436,6288 0.19
65fca8419accb01b,10733 0.50
8f117e14ac677b15,2959 0.33
750fe03b003dc409,12282 0.94
3bd8f7b889ca071d,10392 0.03
67af4058da27a0db,2326 0.13
ac4819a5b588ecc2,2741 0.25
2fe59a54f19f6e56,9256 0.34
125d52b092480a60,3921 0.44
1d7936ac553c0e77,2465 0.45
46b2e6e3ebfed2f8,8140 0.28
450335041fc9bb0c,8692 0.39
911d1c76c3ea4e8c,5835 0.71
aa841098e737638f,7220 0.13
6bc4b9b30a2c550f,2684 0.34
010bbd74d9648b0d,2474 0.11
2d7d11ef19604647,12361 0.21
2907cd5f811cde8f,4481 0.08
82565ffd232e6a34,8908 0.35
c1899c748f9efafb,1345 0.25
8580a0cc1a06e71e,14661 0.10
b074570334cd0bc5,8678 0.85
308247876d314c4b,14545 0.37
e5da5dc58a118b74,7686 0.15
ee2fe4b587c010fa,14875 0.11
c71d53fb524fe220,960 0.11
eb3ba3f936796a96,14040 0.55
732e9787bcca8aa9,11609 0.47
f98fe9e1de680b24,10682 0.12
